id,type0,type1,type2,type3,type4,type5,type6,type7,finishRate,userNum,userNumInFact,scoreIgnoreUndo,scoreCountUndo,group0,group1,group2,group3,group4,uploadSum,uploadAvg,uploadAvgInFact,timeSpan
23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9574468085106383,47.0,45.0,100.0,95.74468085106383,0.0,1.0,0.0,0.0,0.0,81.0,1.7234042553191489,1.8,10.707407407407407
24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9787234042553191,47.0,46.0,100.0,97.87234042553192,0.0,1.0,0.0,0.0,0.0,119.0,2.5319148936170213,2.5869565217391304,38.45688405797102
25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9787234042553191,47.0,46.0,100.0,97.87234042553192,0.0,1.0,0.0,0.0,0.0,57.0,1.2127659574468086,1.2391304347826086,10.234782608695651
26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,47.0,47.0,100.0,100.0,0.0,1.0,0.0,0.0,0.0,54.0,1.148936170212766,1.148936170212766,0.6393617021276596
27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.84,50.0,42.0,99.20642857142857,83.3334,0.0,0.0,0.0,0.0,1.0,53.0,1.06,1.2619047619047619,1.7357142857142858
28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.84,50.0,42.0,100.0,84.0,0.0,0.0,0.0,0.0,1.0,47.0,0.94,1.119047619047619,2.4896825396825397
29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5531914893617021,47.0,26.0,85.57692307692308,47.340425531914896,0.0,1.0,0.0,0.0,0.0,80.0,1.702127659574468,3.076923076923077,408.250641025641
30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6382978723404256,47.0,30.0,94.07400000000001,60.0472340425532,0.0,1.0,0.0,0.0,0.0,106.0,2.25531914893617,3.533333333333333,547.0377777777778
31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9574468085106383,47.0,45.0,97.77777777777777,93.61702127659575,0.0,1.0,0.0,0.0,0.0,60.0,1.2765957446808511,1.3333333333333333,1147.4007407407407
32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9787234042553191,47.0,46.0,100.0,97.87234042553192,0.0,1.0,0.0,0.0,0.0,69.0,1.4680851063829787,1.5,854.7445652173913
33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,50.0,44.0,100.0,88.0,0.0,0.0,0.0,0.0,1.0,49.0,0.98,1.1136363636363635,0.26363636363636367
34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9787234042553191,47.0,46.0,100.0,97.87234042553192,0.0,1.0,0.0,0.0,0.0,60.0,1.2765957446808511,1.3043478260869565,772.569927536232
35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9787234042553191,47.0,46.0,100.0,97.87234042553192,0.0,1.0,0.0,0.0,0.0,59.0,1.2553191489361701,1.2826086956521738,2.1768115942028983
36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9787234042553191,47.0,46.0,100.0,97.87234042553192,0.0,1.0,0.0,0.0,0.0,67.0,1.425531914893617,1.4565217391304348,0.9155797101449276
37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9787234042553191,47.0,46.0,100.0,97.87234042553192,0.0,1.0,0.0,0.0,0.0,74.0,1.574468085106383,1.608695652173913,11.267028985507245
38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,50.0,44.0,100.0,88.0,0.0,0.0,0.0,0.0,1.0,51.0,1.02,1.1590909090909092,1.8768939393939392
39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.851063829787234,47.0,40.0,95.0,80.85106382978724,0.0,1.0,0.0,0.0,0.0,87.0,1.851063829787234,2.175,520.8566666666666
