id,dim0,dim1
229,-5.8663435,12.172405
230,-5.6928864,11.833139
231,-6.4264264,13.208594
232,-5.6633325,11.757037
233,-6.011666,12.439803
234,-6.2512307,12.876812
235,-5.6735764,11.766079
236,-6.480492,13.249345
237,-6.026945,12.323546
238,-5.6370745,11.719903
239,-6.379898,13.136379
240,-6.0587654,12.579661
241,-8.423136,17.404898
242,-6.078174,12.540299
243,-7.455821,15.044532
244,-5.835111,12.223816
245,-7.7994943,16.164423
246,-8.359405,17.22392
247,-5.960869,12.438825
248,-6.278801,13.01255
249,-5.4943633,11.413472
250,-6.0219207,12.571172
251,-7.890017,16.35988
252,-6.3622723,13.176178
253,-6.477016,13.180077
254,-6.1467032,12.547269
255,-7.7024035,15.8865185
256,-6.319164,12.872027
257,-6.547871,13.320287
258,-6.028689,12.378435
259,-6.3432302,13.0540495
260,-8.522258,17.416513
261,-6.5702257,13.441087
262,-6.4026995,13.291316
263,-5.954579,12.5026
264,-6.1477923,12.879907
265,-6.195151,12.969868
266,-6.029142,12.543317
267,-6.586292,13.75221
268,-6.1906095,12.91765
269,-6.055717,12.721468
270,-6.059241,12.650368
271,-6.5003324,13.489201
272,-6.239631,13.02275
273,-7.883041,15.964187
274,-6.709786,13.875608
275,-6.225714,13.004279
276,-6.2871447,13.170281
277,-6.645861,13.766295
278,-6.6424117,13.793025
279,-8.544765,17.620369
280,-7.4589877,15.178573
281,-7.4028115,15.13827
282,-6.6223073,13.782599
283,-8.752601,17.89475
284,-6.384017,13.307235
285,-6.523251,13.559272
286,-6.7303915,13.900687
287,-6.6787543,13.560305
288,-6.367898,13.232259
289,-6.7254143,13.931755
290,-7.0079603,14.531714
291,-11.454604,23.488567
292,-6.3641925,13.357546
293,-6.6601167,13.885683
294,-7.964107,16.173735
295,-6.378253,13.231289
296,-6.465673,13.555613
297,-6.596306,13.683675
298,-6.8467326,14.2593
299,-6.8265147,14.227742
300,-7.1298985,14.793437
301,-15.318835,30.433027
302,-7.2252636,14.790707
303,-7.4289694,15.21586
304,-7.0390644,14.315569
305,-6.565532,13.672088
306,-6.4288106,13.447862
307,-6.6771045,13.952339
308,-6.894888,14.157176
309,-7.0692153,14.419265
310,-8.864648,18.088785
311,-6.814564,14.213056
312,-7.0672674,14.678395
313,-7.008032,14.5975685
314,-7.6904736,15.9283085
315,-6.960187,14.509424
316,-7.3045897,14.941396
317,-7.4648495,15.490679
318,-7.3601184,15.321631
319,-8.384332,17.219753
320,-7.0134325,14.476531
321,-7.324641,15.295699
322,-7.4325013,15.475681
323,-6.795189,14.22949
324,-6.9378023,14.49561
325,-7.239251,15.055917
326,-7.414456,15.246571
327,-7.0777116,14.765108
328,-7.0189786,14.658584
329,-7.11942,14.846816
330,-6.9232755,14.485564
331,-7.0580254,14.631165
332,-7.221208,14.955948
333,-7.046144,14.605282
334,-7.1783333,14.880865
335,-7.534309,15.356812
336,-7.313363,15.080325
337,-9.557305,19.779408
338,-7.3835177,15.163772
339,-7.132561,14.765677
340,-7.3893733,15.37973
341,-7.8556743,16.058634
342,-7.3311133,15.307949
343,-8.937055,18.422178
344,-10.885936,22.62789
345,-8.959031,18.717066
346,-10.979656,22.836254
347,-7.427187,15.403283
348,-11.847649,24.372032
349,-9.788029,20.265131
350,-7.407791,15.23322
351,-7.6760783,15.821712
352,-7.5993958,15.725693
353,-9.502199,19.749063
354,-9.52923,19.80778
355,-9.393064,19.574059
356,-7.923914,16.457083
357,-7.4229217,15.4711
358,-7.7207737,16.013535
359,-9.909032,20.33475
360,-9.414053,19.651901
361,-8.013439,16.316206
362,-7.584935,15.536321
363,-8.119934,16.538391
364,-7.5360856,15.425452
365,-9.360143,19.56618
366,-8.279226,17.052687
367,-7.9308453,16.428932
368,-9.484722,19.785643
369,-7.8986826,16.373281
370,-7.7450447,16.116959
371,-9.347689,19.578115
372,-8.055424,16.664103
373,-7.8300304,16.134628
374,-7.90097,16.228102
375,-8.0726385,16.640465
376,-8.175371,16.815382
377,-7.8663445,16.217342
378,-7.950262,16.47888
379,-8.064851,16.639524
380,-8.17367,16.814728
381,-8.421545,17.243826
382,-8.011754,16.551119
383,-9.067648,18.52509
384,-8.149463,16.78837
385,-7.9533086,16.446154
386,-8.3930235,17.346165
387,-7.878924,16.31683
388,-8.465106,17.391214
389,-8.092735,16.694708
390,-8.111447,16.65771
391,-8.377009,17.246881
392,-8.515308,17.493326
393,-9.932137,20.683203
394,-9.735606,20.30049
395,-8.045151,16.617743
396,-8.262941,16.880547
397,-8.115816,16.737587
398,-11.419494,23.855892
399,-8.2997265,17.059694
400,-8.607622,17.658203
401,-8.129378,16.804754
402,-8.125765,16.871447
403,-9.416031,19.146519
404,-10.468967,21.671337
405,-8.292762,17.08318
406,-8.994064,18.389273
407,-9.261359,18.81883
408,-8.956317,18.353823
409,-8.4795265,17.523844
410,-10.650508,22.09533
411,-8.744004,17.843105
412,-8.267391,17.033659
413,-8.769224,17.849508
414,-8.886529,18.127253
415,-8.437832,17.354534
416,-10.251747,21.299564
417,-10.204824,21.265326
418,-8.510044,17.573164
419,-8.47215,17.48834
420,-8.445523,17.449781
421,-8.615542,17.797264
422,-8.599865,17.76903
423,-8.881948,18.22242
424,-8.739577,18.027239
425,-10.658155,22.104788
426,-10.123418,21.093527
427,-9.339489,18.956982
428,-10.178847,21.07354
429,-12.750751,26.133467
430,-12.66533,26.191761
431,-12.506093,26.083303
432,-11.305094,23.466902
433,-10.437659,21.720642
434,-10.239615,21.348875
435,-8.853614,18.17919
436,-11.227029,23.352638
437,-10.95184,22.842377
438,-12.5886345,26.292631
439,-12.906965,26.690008
440,-8.892717,18.377125
441,-11.394363,23.644352
442,-10.928057,22.771326
443,-9.123192,18.491377
444,-11.026492,22.886276
445,-12.388814,25.99272
446,-8.863227,18.144676
447,-9.579323,19.604052
448,-9.320209,19.140045
449,-9.053479,18.625828
450,-9.125062,18.835258
451,-9.583872,19.630688
452,-8.963821,18.384907
453,-9.070222,18.605757
454,-8.9593525,18.406631
455,-9.76141,19.870148
456,-9.848152,19.933369
457,-9.428831,19.254576
458,-9.222344,18.922234
459,-9.28911,19.003399
460,-9.363191,19.240486
461,-9.79481,20.083124
462,-9.043665,18.655561
463,-9.17959,18.853186
464,-9.138244,18.889439
465,-9.804781,20.026508
466,-10.012111,20.394878
467,-9.391449,19.373594
468,-9.877415,20.132212
469,-9.942658,20.227057
470,-9.282207,19.045984
471,-9.286887,18.997955
472,-9.522391,19.533115
473,-10.367287,21.059568
474,-10.062066,20.60126
475,-9.803561,20.147478
476,-9.431086,19.311867
477,-9.883264,20.185894
478,-9.881199,20.227596
479,-9.65803,19.853708
480,-9.636992,19.739597
481,-10.00425,20.560461
482,-9.78609,20.17526
483,-9.771452,20.193548
484,-9.978828,20.535408
485,-11.445836,23.93407
486,-9.996857,20.583477
487,-9.992552,20.612846
488,-9.965772,20.561798
489,-10.304305,21.072824
490,-9.552321,19.725466
491,-10.121786,20.698664
492,-10.073683,20.586851
493,-9.898103,20.240152
494,-11.014066,22.283165
495,-9.903491,20.38994
496,-10.0390215,20.752432
497,-10.250917,20.88021
498,-9.627164,19.69561
499,-9.780413,19.946459
500,-9.718452,19.800135
501,-9.767427,20.125502
502,-9.755284,20.12474
503,-10.577128,21.633646
504,-10.156682,20.8469
505,-10.074924,20.536083
506,-13.853703,28.807127
507,-10.173334,20.879591
508,-10.606589,21.671268
509,-10.245847,20.99614
510,-10.260319,21.054739
511,-10.423618,21.320183
512,-10.47307,21.47526
513,-10.018977,20.63506
514,-9.917723,20.37206
515,-10.277038,21.121214
516,-9.971723,20.473457
517,-10.05106,20.583025
518,-10.354032,21.26318
519,-10.407147,21.486752
520,-10.57022,21.767294
521,-11.189264,22.907385
522,-10.471922,21.553606
523,-10.567759,21.697237
524,-10.949635,22.388859
525,-10.520498,21.639624
526,-10.902052,22.227495
527,-10.428784,21.368061
528,-10.571174,21.538326
529,-11.264319,22.887445
530,-10.715679,21.800526
531,-10.405235,21.184195
532,-10.547339,21.485651
533,-12.30611,25.365538
534,-10.660764,21.783588
535,-10.391948,21.143272
536,-10.785212,22.030283
537,-10.283929,20.999739
538,-12.599692,25.878084
539,-10.672085,21.900026
540,-10.858554,22.147991
541,-10.705049,21.782845
542,-10.477426,21.431337
543,-10.895418,22.192049
544,-10.49696,21.456682
545,-10.281473,21.120747
546,-11.059705,22.579386
547,-10.917324,22.18557
548,-10.626918,21.760061
549,-10.417241,21.225233
550,-10.372479,21.258646
551,-11.344342,23.033115
552,-10.413923,21.310198
553,-10.387149,21.231146
554,-10.508169,21.536842
555,-10.609318,21.722391
556,-10.665419,21.659286
557,-10.608324,21.689457
558,-10.486183,21.488735
559,-12.611031,25.909096
560,-10.55972,21.628548
561,-10.522442,21.563354
562,-10.960715,22.528526
563,-10.564649,21.626728
564,-11.197029,22.925901
565,-10.8694315,22.207823
566,-10.621387,21.758018
567,-10.805735,22.09724
568,-11.188442,22.931084
569,-10.71085,21.910425
570,-11.100954,22.779451
571,-10.698905,21.883875
572,-11.150131,22.802168
573,-10.801692,22.128683
574,-11.241385,22.912868
575,-10.875309,22.231009
576,-11.1922245,22.911434
577,-11.107059,22.659199
578,-11.027755,22.479961
579,-10.990174,22.470654
580,-11.779555,23.896929
581,-11.655232,23.601995
582,-11.257564,22.865406
583,-11.136899,22.731045
584,-11.790278,23.870493
585,-11.284208,22.986538
586,-11.279905,22.998077
587,-11.105581,22.62702
588,-11.853429,23.976437
589,-11.156625,22.726297
590,-13.162529,27.083817
591,-11.503048,23.42984
592,-11.018448,22.523167
593,-11.250458,22.84858
594,-11.4054575,23.172243
595,-11.118343,22.6795
596,-11.709769,23.87284
597,-12.066297,24.34953
598,-15.170738,31.396555
599,-12.224034,24.771034
600,-11.807764,24.062397
601,-13.070491,26.834066
602,-13.407683,27.547382
603,-11.3965435,23.21842
604,-13.352092,27.56051
605,-12.120362,24.585089
606,-11.6042795,23.701254
607,-13.459955,27.56378
608,-13.037513,26.875006
609,-11.685866,23.771338
610,-11.974912,24.320976
611,-12.243116,24.786774
612,-11.729807,23.964052
613,-15.082237,30.63362
614,-13.623246,27.947943
615,-18.674345,38.507378
616,-11.774498,23.99353
617,-11.437432,23.366085
618,-11.616477,23.75776
619,-11.812647,24.125513
620,-11.521381,23.608177
621,-11.34695,23.293121
622,-11.827565,24.046015
623,-13.308146,27.32696
624,-11.941039,24.260284
625,-11.7519655,23.97689
626,-13.492389,27.819553
627,-11.683884,23.904123
628,-11.585094,23.704636
629,-11.770629,24.06282
630,-12.173755,24.62878
631,-11.970082,24.309374
632,-12.10914,24.677492
633,-12.093585,24.658684
634,-15.4744835,32.168034
635,-13.907741,28.618694
636,-14.031731,28.976477
637,-13.807991,28.476067
638,-15.640505,32.517136
639,-12.287642,24.945723
640,-12.187405,24.763004
641,-12.120574,24.691957
642,-13.782167,28.224802
643,-12.326637,25.125095
644,-14.119758,28.74105
645,-13.025194,26.450163
646,-12.526879,25.341415
647,-12.335956,25.237862
648,-12.627589,25.711876
649,-12.32768,25.151861
650,-12.407513,25.359858
651,-12.43954,25.417204
652,-12.391147,25.249655
653,-12.362844,25.23896
654,-12.577643,25.5695
655,-12.54242,25.540552
656,-12.06115,24.676239
657,-12.065311,24.705256
658,-12.050081,24.650118
659,-12.371557,25.187176
660,-12.51989,25.475792
661,-12.475978,25.39093
662,-12.475437,25.457209
663,-12.575545,25.64746
664,-12.758132,25.901575
665,-12.6367855,25.744286
666,-12.577974,25.630114
667,-12.778574,25.904264
668,-12.603303,25.762922
669,-12.6188,25.79403
670,-15.362445,31.393959
671,-12.681052,25.896433
672,-12.803255,26.156794
673,-12.874034,26.177202
674,-12.854149,26.22881
675,-12.751254,25.988935
676,-12.7679205,26.043602
677,-12.719882,25.952364
678,-13.02164,26.407167
679,-13.0404825,26.49331
680,-13.035669,26.539997
681,-12.78503,26.009296
682,-13.779888,27.906292
683,-12.930632,26.305763
684,-12.713677,25.875795
685,-13.02488,26.498516
686,-12.927999,26.386679
687,-12.895245,26.380064
688,-13.026786,26.632847
689,-12.770529,26.047653
690,-13.68175,27.67472
691,-12.704274,25.991007
