id,uploadSum,0to1,1to2,2to3,3to4,4to5,5to6,6to7,7to8,8to9,9to10,10to11,11to12,12to13,13to14,14to15,15to16,16to17,17to18,18to19,19to20,20to21,21to22,22to23,23to24
70,206,0,0,0,0,0,0,0,0,4,4,9,4,8,7,16,14,24,21,22,42,26,4,1,0
71,208,0,0,0,0,0,0,0,0,0,3,5,4,11,16,14,17,18,14,13,20,9,9,29,26
72,208,0,0,0,0,0,0,0,0,0,7,28,26,11,9,27,33,36,17,0,6,8,0,0,0
73,243,1,0,0,0,0,0,0,0,0,0,31,45,13,7,7,20,21,0,6,13,20,24,19,16
74,610,1,0,0,0,0,0,0,0,0,32,91,38,22,7,17,45,27,93,4,101,31,64,28,9
75,210,7,15,10,0,0,0,0,0,0,0,8,12,14,11,14,20,20,23,3,17,4,14,11,7
76,213,1,0,0,0,0,0,0,0,0,1,17,25,19,29,18,12,20,13,12,27,9,2,3,5
77,257,0,0,0,0,0,0,0,0,0,6,27,16,15,10,7,11,38,28,25,29,27,16,2,0
78,322,0,2,3,0,0,0,0,1,13,25,23,15,13,5,14,14,26,46,28,19,15,23,13,24
79,73,0,0,0,0,0,0,0,0,0,5,3,17,5,10,9,1,1,1,2,2,0,4,13,0
80,334,1,0,0,0,0,0,0,0,7,4,24,14,13,24,29,30,53,28,32,11,28,13,9,14
81,103,0,0,0,0,0,0,0,0,3,3,9,0,2,3,13,5,1,4,19,7,16,13,3,2
82,86,0,0,0,0,0,0,0,1,0,1,16,9,2,7,7,5,7,3,8,6,5,5,3,1
83,730,48,18,2,0,0,0,0,0,0,0,27,65,22,11,9,34,54,32,79,93,62,16,91,67
84,957,4,0,0,0,0,0,0,0,0,2,3,20,19,23,17,40,74,83,65,0,18,143,199,247
85,696,0,0,0,0,0,0,0,0,9,148,94,73,46,126,19,12,95,55,11,8,0,0,0,0
86,208,0,0,0,0,0,0,0,0,0,3,8,11,20,14,13,17,23,28,17,15,22,14,3,0
87,696,0,0,0,0,0,0,0,0,10,55,33,41,36,15,22,21,23,69,83,59,61,43,51,74
88,446,0,0,0,0,0,0,0,0,10,1,19,49,17,6,1,4,13,82,87,18,42,85,12,0
89,931,63,52,0,0,0,0,0,0,4,5,42,86,35,0,13,6,14,15,15,127,69,178,94,113
90,177,4,5,4,0,0,0,0,0,1,1,4,9,27,12,4,14,15,14,15,7,6,11,16,8
91,213,2,0,0,0,0,0,0,0,0,0,0,0,0,8,11,12,17,12,6,12,29,70,28,6
92,1030,0,0,0,0,0,0,0,0,0,1,61,67,173,101,28,32,57,96,119,38,17,36,139,65
93,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,15,17,8,4,0,0,0
94,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,8,3,2,3,1,3
95,228,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,18,24,8,17,59,61,25,1
